cancer_type,rank,gene,symbol,coef
BLCA,1,ENSG00000078399.19,HOXA9,0.1704
BLCA,2,ENSG00000163017.14,ACTG2,0.1656
BLCA,3,ENSG00000204323.5,SMIM5,0.1527
BLCA,4,ENSG00000164266.11,SPINK1,0.1434
BLCA,5,ENSG00000169583.13,CLIC3,0.1421
BLCA,6,ENSG00000005073.6,HOXA11,0.1231
BLCA,7,ENSG00000267795.6,SMIM22,0.1188
BLCA,8,ENSG00000163993.7,S100P,0.1186
BLCA,9,ENSG00000129521.15,EGLN3,0.1169
BLCA,10,ENSG00000163207.7,IVL,0.1141
BLCA,11,ENSG00000138814.17,PPP3CA,0.112
BLCA,12,ENSG00000158055.16,GRHL3,0.1094
BLCA,13,ENSG00000223573.7,TINCR,0.1078
BLCA,14,ENSG00000139433.11,GLTP,0.1052
BLCA,15,ENSG00000134363.12,FST,0.1021
BRCA,1,ENSG00000205002.4,AARD,0.1932
BRCA,2,ENSG00000104447.13,TRPS1,0.1512
BRCA,3,ENSG00000113494.17,PRLR,0.1284
BRCA,4,ENSG00000176842.15,IRX5,0.1203
BRCA,5,ENSG00000136944.19,LMX1B,0.1125
BRCA,6,ENSG00000160862.13,AZGP1,0.1095
BRCA,7,ENSG00000179241.13,LDLRAD3,0.1067
BRCA,8,ENSG00000185479.6,KRT6B,0.1053
BRCA,9,ENSG00000123364.5,HOXC13,0.1034
BRCA,10,ENSG00000180806.5,HOXC9,0.102
BRCA,11,ENSG00000151365.2,THRSP,0.1011
BRCA,12,ENSG00000176402.6,GJC3,0.1009
BRCA,13,ENSG00000129988.6,LBP,0.1006
BRCA,14,ENSG00000143320.9,CRABP2,0.0987
BRCA,15,ENSG00000107485.18,GATA3,0.0973
CHOL,1,ENSG00000138115.14,CYP2C8,0.1176
CHOL,2,ENSG00000182771.19,GRID1,0.1135
CHOL,3,ENSG00000147003.7,CLTRN,0.0981
CHOL,4,ENSG00000161944.16,ASGR2,0.0962
CHOL,5,ENSG00000175003.15,SLC22A1,0.091
CHOL,6,ENSG00000205436.7,EXOC3L4,0.0804
CHOL,7,ENSG00000153086.14,ACMSD,0.079
CHOL,8,ENSG00000085563.15,ABCB1,0.0766
CHOL,9,ENSG00000198113.3,TOR4A,0.0765
CHOL,10,ENSG00000178623.12,GPR35,0.0749
CHOL,11,ENSG00000188488.14,SERPINA5,0.0741
CHOL,12,ENSG00000172508.10,CARNS1,0.0726
CHOL,13,ENSG00000148584.15,A1CF,0.0701
CHOL,14,ENSG00000169903.7,TM4SF4,0.0701
CHOL,15,ENSG00000039537.14,C6,0.0662
COAD,1,ENSG00000078399.19,HOXA9,0.2168
COAD,2,ENSG00000102445.20,RUBCNL,0.203
COAD,3,ENSG00000179314.14,WSCD1,0.2008
COAD,4,ENSG00000170425.3,ADORA2B,0.1882
COAD,5,ENSG00000165376.11,CLDN2,0.1845
COAD,6,ENSG00000082458.12,DLG3,0.1815
COAD,7,ENSG00000124429.18,POF1B,0.1712
COAD,8,ENSG00000185479.6,KRT6B,0.1639
COAD,9,ENSG00000005073.6,HOXA11,0.1611
COAD,10,ENSG00000182489.9,XKRX,0.1554
COAD,11,ENSG00000131910.5,NR0B2,0.1542
COAD,12,ENSG00000122711.9,SPINK4,0.1505
COAD,13,ENSG00000007952.18,NOX1,0.1486
COAD,14,ENSG00000141505.12,ASGR1,0.1482
COAD,15,ENSG00000121380.12,BCL2L14,0.1473
ESCA,1,ENSG00000231767.4,RPS27AP5,0.4133
ESCA,2,ENSG00000170684.9,ZNF296,0.1854
ESCA,3,ENSG00000171766.17,GATM,0.1813
ESCA,4,ENSG00000138823.13,MTTP,0.1589
ESCA,5,ENSG00000108242.13,CYP2C18,0.1534
ESCA,6,ENSG00000149968.12,MMP3,0.1503
ESCA,7,ENSG00000120471.15,TP53AIP1,0.1306
ESCA,8,ENSG00000166589.13,CDH16,0.1303
ESCA,9,ENSG00000137857.17,DUOX1,0.1276
ESCA,10,ENSG00000177602.5,HASPIN,0.1275
ESCA,11,ENSG00000168453.15,HR,0.1256
ESCA,12,ENSG00000164687.11,FABP5,0.1233
ESCA,13,ENSG00000109101.8,FOXN1,0.122
ESCA,14,ENSG00000178934.5,LGALS7B,0.1196
ESCA,15,ENSG00000134363.12,FST,0.1193
HNSC,1,ENSG00000198125.13,MB,0.2148
HNSC,2,ENSG00000127241.18,MASP1,0.2012
HNSC,3,ENSG00000211448.13,DIO2,0.1866
HNSC,4,ENSG00000148219.17,ASTN2,0.1808
HNSC,5,ENSG00000167768.4,KRT1,0.1802
HNSC,6,ENSG00000142661.19,MYOM3,0.1766
HNSC,7,ENSG00000182782.8,HCAR2,0.1682
HNSC,8,ENSG00000149968.12,MMP3,0.1627
HNSC,9,ENSG00000171401.15,KRT13,0.1586
HNSC,10,ENSG00000174564.13,IL20RB,0.1508
HNSC,11,ENSG00000069849.11,ATP1B3,0.1502
HNSC,12,ENSG00000169174.11,PCSK9,0.1443
HNSC,13,ENSG00000172061.9,LRRC15,0.1354
HNSC,14,ENSG00000213853.10,EMP2,0.1321
HNSC,15,ENSG00000113430.10,IRX4,0.1282
KICH,1,ENSG00000168952.15,STXBP6,0.1977
KICH,2,ENSG00000184524.6,CEND1,0.156
KICH,3,ENSG00000269113.4,TRABD2B,0.1456
KICH,4,ENSG00000198914.5,POU3F3,0.1318
KICH,5,ENSG00000107485.18,GATA3,0.1197
KICH,6,ENSG00000138769.11,CDKL2,0.1068
KICH,7,ENSG00000173253.15,DMRT2,0.1031
KICH,8,ENSG00000253293.5,HOXA10,0.1028
KICH,9,ENSG00000035720.8,STAP1,0.1023
KICH,10,ENSG00000088538.13,DOCK3,0.1022
KICH,11,ENSG00000163082.10,SGPP2,0.0972
KICH,12,ENSG00000079337.16,RAPGEF3,0.0945
KICH,13,ENSG00000110931.19,CAMKK2,0.0944
KICH,14,ENSG00000143797.12,MBOAT2,0.0944
KICH,15,ENSG00000198099.9,ADH4,0.0939
KIRC,1,ENSG00000145692.15,BHMT,0.229
KIRC,2,ENSG00000137731.14,FXYD2,0.2037
KIRC,3,ENSG00000163762.7,TM4SF18,0.2002
KIRC,4,ENSG00000184908.18,CLCNKB,0.1873
KIRC,5,ENSG00000244067.3,GSTA2,0.1826
KIRC,6,ENSG00000010278.15,CD9,0.1624
KIRC,7,ENSG00000167748.11,KLK1,0.1617
KIRC,8,ENSG00000118526.7,TCF21,0.1588
KIRC,9,ENSG00000185633.10,NDUFA4L2,0.1542
KIRC,10,ENSG00000164674.16,SYTL3,0.152
KIRC,11,ENSG00000167554.15,ZNF610,0.1426
KIRC,12,ENSG00000171564.12,FGB,0.1404
KIRC,13,ENSG00000186510.12,CLCNKA,0.1363
KIRC,14,ENSG00000082684.16,SEMA5B,0.1357
KIRC,15,ENSG00000138792.10,ENPEP,0.1357
KIRP,1,ENSG00000198075.10,SULT1C4,0.2119
KIRP,2,ENSG00000085563.15,ABCB1,0.1372
KIRP,3,ENSG00000079337.16,RAPGEF3,0.132
KIRP,4,ENSG00000269113.4,TRABD2B,0.1282
KIRP,5,ENSG00000132464.13,ENAM,0.1276
KIRP,6,ENSG00000241935.9,HOGA1,0.1271
KIRP,7,ENSG00000016391.11,CHDH,0.1154
KIRP,8,ENSG00000167880.8,EVPL,0.1137
KIRP,9,ENSG00000124564.17,SLC17A3,0.1101
KIRP,10,ENSG00000151948.12,GLT1D1,0.1071
KIRP,11,ENSG00000204385.13,SLC44A4,0.1056
KIRP,12,ENSG00000137251.16,TINAG,0.1042
KIRP,13,ENSG00000259207.9,ITGB3,0.1033
KIRP,14,ENSG00000182919.15,C11orf54,0.1022
KIRP,15,ENSG00000157087.20,ATP2B2,0.101
LIHC,1,ENSG00000129988.6,LBP,0.133
LIHC,2,ENSG00000129214.15,SHBG,0.1058
LIHC,3,ENSG00000106927.12,AMBP,0.1015
LIHC,4,ENSG00000159261.12,CLDN14,0.099
LIHC,5,ENSG00000145321.13,GC,0.0915
LIHC,6,ENSG00000146411.6,SLC2A12,0.0899
LIHC,7,ENSG00000170482.17,SLC23A1,0.083
LIHC,8,ENSG00000138823.13,MTTP,0.0805
LIHC,9,ENSG00000166035.11,LIPC,0.0787
LIHC,10,ENSG00000168546.11,GFRA2,0.0781
LIHC,11,ENSG00000130649.10,CYP2E1,0.078
LIHC,12,ENSG00000205403.13,CFI,0.0776
LIHC,13,ENSG00000171227.7,TMEM37,0.0747
LIHC,14,ENSG00000007933.13,FMO3,0.0731
LIHC,15,ENSG00000151224.13,MAT1A,0.0716
LUAD,1,ENSG00000164265.9,SCGB3A2,0.2489
LUAD,2,ENSG00000122852.15,SFTPA1,0.2032
LUAD,3,ENSG00000123838.11,C4BPA,0.1939
LUAD,4,ENSG00000168878.19,SFTPB,0.1721
LUAD,5,ENSG00000185303.17,SFTPA2,0.1709
LUAD,6,ENSG00000158089.15,GALNT14,0.1647
LUAD,7,ENSG00000105852.11,PON3,0.1638
LUAD,8,ENSG00000169302.16,STK32A,0.1538
LUAD,9,ENSG00000133661.17,SFTPD,0.1432
LUAD,10,ENSG00000106178.7,CCL24,0.1367
LUAD,11,ENSG00000151332.19,MBIP,0.1358
LUAD,12,ENSG00000131400.8,NAPSA,0.1338
LUAD,13,ENSG00000138769.11,CDKL2,0.1311
LUAD,14,ENSG00000196260.5,SFTA2,0.1288
LUAD,15,ENSG00000189377.9,CXCL17,0.1274
LUSC,1,ENSG00000089225.20,TBX5,0.3764
LUSC,2,ENSG00000198759.12,EGFL6,0.2384
LUSC,3,ENSG00000168878.19,SFTPB,0.2277
LUSC,4,ENSG00000185303.17,SFTPA2,0.226
LUSC,5,ENSG00000122852.15,SFTPA1,0.1858
LUSC,6,ENSG00000256812.2,CAPNS2,0.1703
LUSC,7,ENSG00000170779.11,CDCA4,0.1657
LUSC,8,ENSG00000023839.12,ABCC2,0.1574
LUSC,9,ENSG00000257017.9,HP,0.1567
LUSC,10,ENSG00000144045.14,DQX1,0.1557
LUSC,11,ENSG00000140519.14,RHCG,0.1481
LUSC,12,ENSG00000071539.14,TRIP13,0.1466
LUSC,13,ENSG00000106537.8,TSPAN13,0.1433
LUSC,14,ENSG00000137747.16,TMPRSS13,0.1431
LUSC,15,ENSG00000196260.5,SFTA2,0.1417
PRAD,1,ENSG00000014257.16,ACP3,0.0687
PRAD,2,ENSG00000167034.10,NKX3-1,0.0679
PRAD,3,ENSG00000122585.8,NPY,0.066
PRAD,4,ENSG00000168539.4,CHRM1,0.0654
PRAD,5,ENSG00000167749.11,KLK4,0.065
PRAD,6,ENSG00000167332.9,OR51E2,0.0647
PRAD,7,ENSG00000159184.8,HOXB13,0.0629
PRAD,8,ENSG00000146205.14,ANO7,0.0623
PRAD,9,ENSG00000165125.22,TRPV6,0.0619
PRAD,10,ENSG00000100285.10,NEFH,0.0606
PRAD,11,ENSG00000158715.6,SLC45A3,0.0605
PRAD,12,ENSG00000196104.11,SPOCK3,0.058
PRAD,13,ENSG00000080709.16,KCNN2,0.0573
PRAD,14,ENSG00000043591.6,ADRB1,0.057
PRAD,15,ENSG00000104154.7,SLC30A4,0.0567
READ,1,ENSG00000137757.11,CASP5,0.2674
READ,2,ENSG00000180767.10,CHST13,0.2114
READ,3,ENSG00000170786.12,SDR16C5,0.2019
READ,4,ENSG00000095380.11,NANS,0.1776
READ,5,ENSG00000174332.5,GLIS1,0.1705
READ,6,ENSG00000015413.9,DPEP1,0.1584
READ,7,ENSG00000121957.15,GPSM2,0.1451
READ,8,ENSG00000118526.7,TCF21,0.1418
READ,9,ENSG00000170571.12,EMB,0.1389
READ,10,ENSG00000124102.5,PI3,0.1365
READ,11,ENSG00000184709.7,LRRC26,0.1359
READ,12,ENSG00000137747.16,TMPRSS13,0.1352
READ,13,ENSG00000163734.4,CXCL3,0.1332
READ,14,ENSG00000126231.15,PROZ,0.1317
READ,15,ENSG00000205089.8,CCNI2,0.1309
STAD,1,ENSG00000231767.4,RPS27AP5,0.337
STAD,2,ENSG00000066405.13,CLDN18,0.2107
STAD,3,ENSG00000160182.3,TFF1,0.1901
STAD,4,ENSG00000136574.18,GATA4,0.1867
STAD,5,ENSG00000163017.14,ACTG2,0.1821
STAD,6,ENSG00000263639.7,MSMB,0.167
STAD,7,ENSG00000175084.12,DES,0.1602
STAD,8,ENSG00000141448.11,GATA6,0.1554
STAD,9,ENSG00000100665.12,SERPINA4,0.1476
STAD,10,ENSG00000257743.8,MGAM2,0.1354
STAD,11,ENSG00000148702.15,HABP2,0.1274
STAD,12,ENSG00000134193.15,REG4,0.1271
STAD,13,ENSG00000180818.5,HOXC10,0.1269
STAD,14,ENSG00000103241.7,FOXF1,0.1199
STAD,15,ENSG00000164266.11,SPINK1,0.116
THCA,1,ENSG00000042832.12,TG,0.0783
THCA,2,ENSG00000115705.22,TPO,0.0728
THCA,3,ENSG00000009765.15,IYD,0.0672
THCA,4,ENSG00000164733.22,CTSB,0.0642
THCA,5,ENSG00000157734.14,SNX22,0.0583
THCA,6,ENSG00000178919.9,FOXE1,0.0566
THCA,7,ENSG00000163827.13,LRRC2,0.0564
THCA,8,ENSG00000091137.14,SLC26A4,0.0558
THCA,9,ENSG00000147255.19,IGSF1,0.0553
THCA,10,ENSG00000175229.7,GAL3ST3,0.0549
THCA,11,ENSG00000224982.4,TMEM233,0.0536
THCA,12,ENSG00000177494.6,ZBED2,0.0528
THCA,13,ENSG00000088538.13,DOCK3,0.0521
THCA,14,ENSG00000174460.4,ZCCHC12,0.0518
THCA,15,ENSG00000198336.9,MYL4,0.0514
UCEC,1,ENSG00000164736.6,SOX17,0.2262
UCEC,2,ENSG00000163132.8,MSX1,0.2254
UCEC,3,ENSG00000105880.7,DLX5,0.1994
UCEC,4,ENSG00000170370.12,EMX2,0.1612
UCEC,5,ENSG00000197705.10,KLHL14,0.1199
UCEC,6,ENSG00000263961.8,RHEX,0.1139
UCEC,7,ENSG00000091831.24,ESR1,0.1004
UCEC,8,ENSG00000231767.4,RPS27AP5,0.095
UCEC,9,ENSG00000005073.6,HOXA11,0.092
UCEC,10,ENSG00000125618.17,PAX8,0.0878
UCEC,11,ENSG00000130045.16,NXNL2,0.087
UCEC,12,ENSG00000117122.14,MFAP2,0.0861
UCEC,13,ENSG00000120068.7,HOXB8,0.0804
UCEC,14,ENSG00000103449.12,SALL1,0.0763
UCEC,15,ENSG00000070526.15,ST6GALNAC1,0.0746
