held_out_cancer_type,auc,accuracy_default_thresh,accuracy_optimal_thresh
TCGA-BLCA,1.0,0.9824561403508771,1.0
TCGA-BRCA,0.9984728639674211,0.9970501474926253,0.9970501474926253
TCGA-CHOL,1.0,1.0,1.0
TCGA-COAD,1.0,1.0,1.0
TCGA-ESCA,0.9881656804733727,0.9230769230769231,0.9487179487179487
TCGA-HNSC,0.996900826446281,0.9545454545454546,0.9772727272727273
TCGA-KICH,0.9975999999999999,0.96,0.9866666666666667
TCGA-KIRC,0.9919945987654322,0.9907407407407407,0.9907407407407407
TCGA-KIRP,1.0,1.0,1.0
TCGA-LIHC,0.9985999999999999,0.8466666666666667,0.9933333333333333
TCGA-LUAD,1.0,0.9661016949152542,1.0
TCGA-LUSC,1.0,0.9934640522875817,1.0
TCGA-PRAD,0.9498890532544378,0.75,0.9358974358974359
TCGA-READ,1.0,1.0,1.0
TCGA-STAD,1.0,0.9074074074074074,1.0
TCGA-THCA,0.9824762999138179,0.96045197740113,0.9717514124293786
TCGA-UCEC,0.9979591836734694,0.8857142857142857,0.9809523809523809
