project,n,n_tumor,n_normal,auc,accuracy
TCGA-BLCA,12,8,4,1.0,0.9166666666666666
TCGA-BRCA,68,45,23,1.0,1.0
TCGA-CHOL,4,3,1,1.0,1.0
TCGA-COAD,26,17,9,1.0,1.0
TCGA-ESCA,8,5,3,1.0,0.875
TCGA-HNSC,26,18,8,1.0,1.0
TCGA-KICH,15,10,5,1.0,1.0
TCGA-KIRC,43,29,14,1.0,1.0
TCGA-KIRP,19,13,6,1.0,1.0
TCGA-LIHC,30,20,10,1.0,1.0
TCGA-LUAD,36,24,12,1.0,0.9444444444444444
TCGA-LUSC,30,20,10,1.0,1.0
TCGA-PRAD,32,21,11,0.9653679653679653,0.9375
TCGA-READ,6,4,2,1.0,1.0
TCGA-STAD,23,15,8,1.0,1.0
TCGA-THCA,34,23,11,0.9723320158102766,0.9117647058823529
TCGA-UCEC,21,14,7,1.0,1.0
