sample,tumor_probability,logit,direction,rank,gene_id,gene_name,contribution_logit,expression_log2_tpm1,training_mean,scaled_value,lr_coef
06952c59-978d-4ef4-b716-c55dd6747699,0.9999460578479304,9.827544399970392,tumor,1,ENSG00000180953.11,ST20,0.4375842923780072,3.2951,1.0988166326395472,3.3279095557196987,0.13148923822942496
06952c59-978d-4ef4-b716-c55dd6747699,0.9999460578479304,9.827544399970392,tumor,2,ENSG00000179934.7,CCR8,0.3594462353912405,3.2355,0.723048199261645,3.2031981871903508,0.11221479733245127
06952c59-978d-4ef4-b716-c55dd6747699,0.9999460578479304,9.827544399970392,tumor,3,ENSG00000103363.15,,0.3435101209087318,3.3304,8.429126733841821,-7.409502733267923,-0.04636075230344485
06952c59-978d-4ef4-b716-c55dd6747699,0.9999460578479304,9.827544399970392,normal,1,ENSG00000178719.17,,-0.38305275843930603,4.802,8.124728383794377,-4.05696161116673,0.09441863028354981
06952c59-978d-4ef4-b716-c55dd6747699,0.9999460578479304,9.827544399970392,normal,2,ENSG00000196365.12,,-0.3626745619102263,2.0124,5.855979906747564,-5.725207516244428,0.06334697229422531
06952c59-978d-4ef4-b716-c55dd6747699,0.9999460578479304,9.827544399970392,normal,3,ENSG00000274523.5,,-0.3181531680510437,3.1468,5.444338002151679,-3.936957649264387,0.08081193560984584
c3bab823-4bf2-40ea-903c-fb342067c893,0.9899565622025662,4.59074159984538,tumor,1,ENSG00000179934.7,CCR8,0.2835926831167535,2.7053,0.723048199261645,2.5272307205312012,0.11221479733245127
c3bab823-4bf2-40ea-903c-fb342067c893,0.9899565622025662,4.59074159984538,tumor,2,ENSG00000123500.10,COL10A1,0.2530096575762697,6.3947,2.3328062389329434,1.6551010158599138,0.1528665955442107
c3bab823-4bf2-40ea-903c-fb342067c893,0.9899565622025662,4.59074159984538,tumor,3,ENSG00000180953.11,ST20,0.20198471837637477,2.1126,1.0988166326395472,1.5361311777010065,0.13148923822942496
c3bab823-4bf2-40ea-903c-fb342067c893,0.9899565622025662,4.59074159984538,normal,1,ENSG00000164619.10,BMPER,-0.24231238128890145,2.0905,0.8295977104085293,1.382677796444412,-0.1752486240192859
c3bab823-4bf2-40ea-903c-fb342067c893,0.9899565622025662,4.59074159984538,normal,2,ENSG00000138722.10,MMRN1,-0.1840273189103894,4.3703,2.290710182071391,1.272165787369829,-0.14465671120653328
c3bab823-4bf2-40ea-903c-fb342067c893,0.9899565622025662,4.59074159984538,normal,3,ENSG00000077616.11,,-0.18343008271793157,1.8892,0.7444079376434375,1.8319595957101142,-0.10012779929615719
c15e9ead-0373-486e-a99b-26b96bd3ccc4,0.999921676434858,9.454583713945423,tumor,1,ENSG00000170373.8,CST1,0.29821157393167863,8.2629,2.2611628245522652,2.216279259760184,0.13455505330314152
c15e9ead-0373-486e-a99b-26b96bd3ccc4,0.999921676434858,9.454583713945423,tumor,2,ENSG00000029559.7,,0.24831095467801578,4.9428,0.8090583591065433,3.489352380576988,0.07116247589673241
c15e9ead-0373-486e-a99b-26b96bd3ccc4,0.999921676434858,9.454583713945423,tumor,3,ENSG00000179934.7,CCR8,0.20720978692786524,2.1714,0.723048199261645,1.8465460157984217,0.11221479733245127
c15e9ead-0373-486e-a99b-26b96bd3ccc4,0.999921676434858,9.454583713945423,normal,1,ENSG00000135374.11,ELF5,-0.5111269711050356,8.7951,1.6141243883501688,3.657927202988751,-0.1397313130472945
c15e9ead-0373-486e-a99b-26b96bd3ccc4,0.999921676434858,9.454583713945423,normal,2,ENSG00000163661.4,PTX3,-0.2944291465401687,5.1231,1.7384645830241263,2.3472515701268692,-0.1254357011780611
c15e9ead-0373-486e-a99b-26b96bd3ccc4,0.999921676434858,9.454583713945423,normal,3,ENSG00000077274.9,,-0.27549119738261146,9.329,2.4536699827539654,3.310131979319617,-0.08322665050933632
84cff855-d17a-4c09-b432-53893ae69c1e,0.03225895780775408,-3.401168766936758,tumor,1,ENSG00000151320.11,,0.3383837431059754,5.163,1.2372639763877207,4.457972490634579,0.0759053008552342
84cff855-d17a-4c09-b432-53893ae69c1e,0.03225895780775408,-3.401168766936758,tumor,2,ENSG00000161091.13,,0.3282449014599008,1.469,4.598310049963539,-3.774920292474511,-0.08695412777702172
84cff855-d17a-4c09-b432-53893ae69c1e,0.03225895780775408,-3.401168766936758,tumor,3,ENSG00000117308.15,,0.25953294210143535,1.9738,5.0159968193866185,-2.9134454456524024,-0.08908110583938482
84cff855-d17a-4c09-b432-53893ae69c1e,0.03225895780775408,-3.401168766936758,normal,1,ENSG00000036448.10,,-0.5163344189559964,9.454,1.3574724891551644,8.146108802230764,-0.06338417905916029
84cff855-d17a-4c09-b432-53893ae69c1e,0.03225895780775408,-3.401168766936758,normal,2,ENSG00000178927.18,,-0.34757233666034765,1.7063,4.700327425387011,-3.865331244340768,0.08992045304506008
84cff855-d17a-4c09-b432-53893ae69c1e,0.03225895780775408,-3.401168766936758,normal,3,ENSG00000134291.12,TMEM106C,-0.34489717794044256,3.3669,5.934836438219116,-2.7241551909952677,0.12660702263971776
f599be9a-0cac-4441-905c-5a6c87e7bc8c,0.05172371654378857,-2.9087294877895404,tumor,1,ENSG00000179934.7,CCR8,0.32636939403729603,3.0043,0.723048199261645,2.908434554048904,0.11221479733245127
f599be9a-0cac-4441-905c-5a6c87e7bc8c,0.05172371654378857,-2.9087294877895404,tumor,2,ENSG00000180953.11,ST20,0.2067265956374647,2.1364,1.0988166326395472,1.5721940321592263,0.13148923822942496
f599be9a-0cac-4441-905c-5a6c87e7bc8c,0.05172371654378857,-2.9087294877895404,tumor,3,ENSG00000100985.7,MMP9,0.18399245007911566,7.2494,3.97233513740045,1.4526299011577126,0.12666161555154407
f599be9a-0cac-4441-905c-5a6c87e7bc8c,0.05172371654378857,-2.9087294877895404,normal,1,ENSG00000135374.11,ELF5,-0.3592119175766971,6.6608,1.6141243883501688,2.5707331430795013,-0.1397313130472945
f599be9a-0cac-4441-905c-5a6c87e7bc8c,0.05172371654378857,-2.9087294877895404,normal,2,ENSG00000163661.4,PTX3,-0.35225134290544574,5.7878,1.7384645830241263,2.8082223768607197,-0.1254357011780611
f599be9a-0cac-4441-905c-5a6c87e7bc8c,0.05172371654378857,-2.9087294877895404,normal,3,ENSG00000077264.15,,-0.20278917442868083,2.6789,0.8495666384932142,1.92936559850876,-0.10510666023350893
