gene_id,gene_name,importance_xgb
ENSG00000134853.12,PDGFRA,0.05758357
ENSG00000099953.10,MMP11,0.053608768
ENSG00000108381.11,ASPA,0.047882203
ENSG00000116194.13,ANGPTL1,0.03418499
ENSG00000170153.11,RNF150,0.027405486
ENSG00000141338.14,ABCA8,0.027178561
ENSG00000172987.13,HPSE2,0.026013313
ENSG00000071991.9,CDH19,0.021336138
ENSG00000133800.9,LYVE1,0.01980634
ENSG00000011465.18,DCN,0.015954386
ENSG00000196976.7,LAGE3,0.013633312
ENSG00000198931.11,APRT,0.012870167
ENSG00000069702.11,TGFBR3,0.012565713
ENSG00000214160.10,ALG3,0.012064692
ENSG00000140092.14,FBLN5,0.011713462
ENSG00000183010.17,PYCR1,0.011699541
ENSG00000112425.16,EPM2A,0.010465682
ENSG00000116014.10,KISS1R,0.009799224
ENSG00000181218.5,H2AW,0.009335406
ENSG00000168477.19,TNXB,0.008991133
ENSG00000162062.15,TEDC2,0.0088236
ENSG00000143374.17,TARS2,0.008811315
ENSG00000166482.12,MFAP4,0.008785499
ENSG00000160688.19,FLAD1,0.008253887
ENSG00000143196.5,DPT,0.0067276857
ENSG00000154370.16,TRIM11,0.006496401
ENSG00000101412.13,E2F1,0.006491852
ENSG00000187730.9,GABRD,0.0063019544
ENSG00000118526.7,TCF21,0.006293762
ENSG00000106397.12,PLOD3,0.0060392953
